months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,age_group,Contract Years,total_premiums_paid,net_value_of_customer,annual_net_value_of_customer,total_net_value_of_customer,policy_bind_year,incident_year,incident_month,incident_day,incident_day_of_week,claim_to_premium_ratio,premium_per_year,contract_value_of_customer,fraudulent_claim_amount
328,48,521585,2014-10-17,OH,250/500,1000,1406.91,0,466132,MALE,MD,craft-repair,sleeping,husband,53300,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610.0,6510.0,13020.0,52080,Saab,92x,2004,Y,45-55,27.333333333333332,38455.54,-33154.46,-33154.46,-33154.46,2014,2015,1,25,6,1.862150420979656,51.472317073170736,38455.54,71610.0
228,42,342868,2006-06-27,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,machine-op-inspct,reading,other-relative,0,0,2015-01-21,Vehicle Theft,Unknown,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,Unknown,0,0,Unknown,5070.0,780.0,780.0,3510,Mercedes,E400,2007,Y,35-45,19.0,22747.18,17677.18,17677.18,17677.18,2006,2015,1,21,2,0.22288477077158575,63.01157894736842,22747.18,5070.0
134,29,687698,2000-09-06,OH,100/300,2000,1413.14,5000000,430632,FEMALE,PhD,sales,board-games,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650.0,7700.0,3850.0,23100,Dodge,RAM,2007,N,25-35,11.166666666666666,15780.063333333334,-18869.93666666667,-18869.93666666667,-18869.93666666667,2000,2015,2,22,6,2.19580867757396,126.54985074626867,15780.063333333334,0.0
256,41,227811,1990-05-25,IL,250/500,2000,1415.74,6000000,608117,FEMALE,PhD,armed-forces,none,unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,Unknown,1,2,NO,63400.0,6340.0,6340.0,50720,Chevrolet,Tahoe,2014,Y,35-45,21.333333333333332,30202.453333333335,-33197.54666666666,-33197.54666666666,-33197.54666666666,1990,2015,1,10,5,2.099167219969768,66.3628125,30202.45333333333,63400.0
228,44,367455,2014-06-06,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,none,unmarried,66000,-46000,2015-02-17,Vehicle Theft,Unknown,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500.0,1300.0,650.0,4550,Accura,RSX,2009,N,35-45,19.0,30094.29,23594.29,23594.29,23594.29,2014,2015,2,17,1,0.21598781695796776,83.36368421052632,30094.29,0.0
256,39,104594,2006-10-12,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100.0,6410.0,6410.0,51280,Saab,95,2003,Y,35-45,21.333333333333332,28823.466666666664,-35276.53333333334,-35276.53333333334,-35276.53333333334,2006,2015,1,2,4,2.2238823921249353,63.332812499999996,28823.466666666664,64100.0
137,34,413978,2000-06-04,IN,250/500,1000,1333.35,0,441716,MALE,College,prof-specialty,board-games,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,Unknown,0,0,Unknown,78650.0,21450.0,7150.0,50050,Nissan,Pathfinder,2012,N,25-35,11.416666666666666,15222.4125,-63427.5875,-63427.5875,-63427.5875,2000,2015,1,13,1,5.166723737121169,116.78978102189781,15222.412499999999,0.0
165,37,429027,1990-02-03,IL,100/300,1000,1137.03,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,Unknown,2,2,YES,51590.0,9380.0,9380.0,32830,Audi,A5,2015,N,35-45,13.75,15634.1625,-35955.8375,-35955.8375,-35955.8375,1990,2015,2,27,4,3.2998249826301858,82.69309090909091,15634.1625,0.0
27,33,485665,1997-02-05,IL,100/300,500,1442.99,0,601734,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700.0,2770.0,2770.0,22160,Toyota,Camry,2012,N,25-35,2.25,3246.7275,-24453.2725,-24453.2725,-24453.2725,1997,2015,1,30,4,8.531667656124513,641.3288888888889,3246.7275,0.0
212,42,636550,2011-07-25,IL,100/300,500,1315.68,0,600983,MALE,PhD,priv-house-serv,camping,wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,Unknown,42300.0,4700.0,4700.0,32900,Saab,92x,1996,N,35-45,17.666666666666668,23243.68,-19056.32,-19056.32,-19056.32,2011,2015,1,5,0,1.819849524688001,74.47245283018867,23243.680000000004,0.0
